time,open,high,low,close,vol
1672531200,1196.13,1679.26,1190.57,1585.33,14091007.0828
1675209600,1585.32,1742.97,1461.93,1605.23,13176410.4841
1677628800,1605.24,1857.16,1368.39,1821.52,20803771.4363
1680307200,1821.52,2141.54,1762.77,1870.09,14307106.2608
1682899200,1870.08,2019.0,1740.0,1873.63,11277172.8598
1685577600,1873.63,1948.6,1626.01,1933.79,10385952.6378
1688169600,1933.8,2029.11,1826.0,1856.14,7059027.6746
1690848000,1856.13,1879.74,1550.0,1645.76,7456380.6685
1693526400,1645.77,1694.32,1531.01,1670.89,6037582.383
1696118400,1670.89,1865.54,1521.0,1814.67,8141249.517
1698796800,1814.67,2136.99,1777.11,2051.96,11382319.5486
1701388800,2051.95,2445.8,2045.04,2281.87,11869847.2762
1704067200,2281.87,2717.32,2100.0,2283.14,13221129.0566
1706745600,2283.15,3522.81,2240.0,3340.09,12127707.2989
1709251200,3340.1,4093.92,3056.56,3645.29,17665326.0855
1711929600,3645.29,3730.71,2852.0,3014.05,12887073.7799
1714521600,3014.04,3977.0,2817.0,3762.29,11599042.9138
1717200000,3762.29,3887.47,3240.0,3438.16,7615636.878
1719792000,3438.16,3562.82,2810.0,3232.74,8935241.1295
1722470400,3232.74,3242.57,2111.0,2513.01,12527905.13
1725148800,2513.0,2728.6,2150.55,2602.23,7928515.7252
1727740800,2602.24,2769.48,2310.0,2518.61,8867194.2538
1730419200,2518.61,3726.71,2357.59,3678.16,18202162.8312
1730419200,2518.61,3738.98,2357.59,3703.6,18365244.9426
